source,target
5355634,5356531
5355634,5397502
5355634,5391293
5355659,5462107
5355659,5578864
5355659,5374058
5355659,5370010
5355659,5456011
5355659,5372234
5355659,5536276
5355659,5358100
5355659,5460535
5355659,5405240
5355659,5368381
5355659,5532288
5355659,5442333
5355659,5411626
5355659,5524268
5355659,5375089
5355659,5375094
5355659,5377053
5355659,5551257
5355659,5364878
5355659,5436597
5355659,5428405
5355659,5379238
5355659,5373278
5355659,5512452
5355659,5400130
5355659,5518967
5355659,5357180
5355659,5430891
5355659,5426705
5355659,5568188
5355659,5500582
5355659,5369719
5355659,5377807
5355659,5394233
5355659,5609413
5355659,5373936
5355659,5373828
5355920,5462107
5355920,5591044
5355920,5591048
5355920,5418032
5355920,5368381
5355920,5376034
5355920,5628669
5355920,5532288
5355920,5371532
5355920,5364878
5355920,5484723
5355920,5484724
5355920,5568188
5355920,5379238
5355920,5500582
5355920,5363887
5355920,5379423
5355920,5361989
5355920,5387081
5355920,5524268
5355920,5374422
5355920,5443547
5355920,5413352
5355920,5363695
5355920,5439920
5355951,5362777
5355951,5366908
5355951,5436013
5355951,5361683
5355951,5433884
5355951,5511686
5355951,5507074
5355951,5360648
5355951,5426699
5355951,5364751
5355951,5365465
5355951,5420749
5355951,5366003
5355951,5365908
5355951,5413018
5355951,5426867
5355951,5364386
5355951,5396823
5355951,5412693
5355951,6355822
5355951,5400908
5355951,5371669
5355951,5652741
5355951,5383472
5355951,5430068
5355951,5355984
5355951,5375440
5355951,5374878
5355951,5399970
5355951,5734819
5355984,5396823
5355984,5421909
5355984,5412693
5355984,5374786
5355984,5375043
5355984,5413747
5355984,5398644
5355984,5383291
5355984,5357181
5355984,5366908
5355984,5361279
5355984,5375356
5355984,5396584
5355984,5436013
5355984,5361683
5355984,5482768
5355984,5371669
5355984,5376789
5355984,5363482
5355984,5433884
5355984,5652741
5355984,5507074
5355984,5426699
5355984,5360648
5355984,5364751
5355984,5388080
5355984,5383472
5355984,5375440
5355984,5365465
5355984,5374428
5355984,5362632
5355984,5376200
5355984,5397502
5355984,5525479
5355984,5393647
5355984,5385363
5355984,5365908
5355984,5413018
5355984,5374878
5355984,5380764
5355984,5368969
5355984,5567627
5355984,5368252
5355984,5399970
5355984,5387424
5355984,5364386
5355984,5734819
5356220,5598535
5356251,5362777
5356251,5383291
5356251,5448801
5356251,5360741
5356251,5436013
5356251,5364751
5356251,5403697
5356251,5379639
5356251,5686333
5356251,5678278
5356251,5376200
5356251,5380302
5356251,5384952
5356251,5413018
5356251,5385373
5356251,5426867
5356251,5387604
5356251,5412693
5356251,5374787
5356251,5400908
5356251,5413747
5356251,5361533
5356251,5367150
5356251,5371669
5356251,5430068
5356251,5402425
5356251,5525479
5356251,5365141
5356251,5400986
5356251,5396361
5356251,5375418
5356251,5391291
5356251,5391295
5356251,5391293
5356251,5391268
5356251,5428142
5356276,5417544
5356276,5711482
5356276,5410828
5356276,5416503
5356276,5406754
5356276,5376035
5356276,5362220
5356276,5433040
5356276,5532384
5356276,5368551
5356276,5414629
5356276,5422315
5356276,5375143
5356276,5379423
5356276,5396828
5356276,5392710
5356276,5376355
5356276,5609413
5356276,5368783
5356276,5366771
5356276,5413352
5356276,5388678
5356276,5363122
5356531,5377619
5356531,5396823
5356531,5645149
5356531,5375043
5356531,5358921
5356531,5418315
5356531,5400908
5356531,5358960
5356531,5371669
5356531,5363482
5356531,5374422
5356531,5374428
5356531,5397502
5356531,5373180
5356531,5361124
5356531,5389805
5356531,5368969
5356531,5413768
5356531,5567627
5356531,5367461
5356531,5734819
5356531,5375143
5356602,5430367
5356602,5502018
5356602,5391439
5356602,5449754
5356602,5398535
5356602,5413073
5356602,5535965
5356602,5382390
5356602,5526777
5356602,5396733
5356602,5800169
5356602,5404826
5356602,5842087
5356602,5457271
5356602,5571008
5356602,5481958
5356602,5614994
5356602,5506484
5356602,5449296
5356602,5399106
5356602,5399107
5356602,5404281
5356602,5452311
5356602,5407259
5356602,5570074
5356602,5404163
5356602,5573128
5356602,5359305
5356602,5382905
5356602,5433065
5356602,5375633
5356602,5413512
5356602,5408423
5356602,5408624
5356602,5406464
5356602,5384968
5356602,5780274
5356602,5449681
5356602,5393366
5356602,5393368
5356602,6125526
5356602,5578662
5356753,5417544
5356753,5387898
5356753,5536276
5356753,5376034
5356753,5376035
5356753,5370413
5356753,5628669
5356753,5391000
5356753,5379238
5356753,5550447
5356753,5497612
5356753,5423505
5356753,5370799
5356814,5367891
5356814,5367902
5356814,5367922
5356814,5370893
5356814,5370894
5356814,5537980
5356814,5537976
5356814,5390206
5356814,5517083
5356814,5406464
5356814,5366153
5356814,5637001
5356814,5363124
5356836,5437518
5356836,5466743
5356836,5367417
5356836,5511686
5356836,5383313
5356836,5465968
5356836,5387057
5356836,5461924
5356896,5393647
5356896,5565817
5356896,5444080
5356896,5389731
5356896,5422605
5356896,5824351
5356896,5456666
5356896,5490486
5356896,5402420
5356896,5382081
5356937,5362813
5356937,5464339
5356937,5382667
5356937,5364750
5356937,5436479
5356937,5445930
5356937,5371860
5356937,5613458
5356937,5378470
5356961,5367872
5356961,5381747
5356961,5362802
5356961,5403746
5356961,5373038
5356961,5370893
5356961,5370894
5356961,5563966
5356961,6303475
5356961,5465319
5356961,5409978
5356961,5409977
5356961,5377874
5356961,5390167
5356961,5474576
5356961,5745924
5356961,5471701
5356961,5437852
5356961,5402547
5356962,5361683
5356962,5403163
5356962,5417264
5356962,5376200
5356962,5420749
5356962,5361124
5356962,5452524
5356962,5389805
5356962,5368969
5357056,5462107
5357056,5466183
5357056,5379639
5357056,5433040
5357056,5368551
5357056,5364878
5357056,5396828
5357056,5366071
5357056,5609413
5357056,5363693
5357056,5423505
5357056,5373339
5357180,5391425
5357180,5375094
5357180,5376034
5357180,5376035
5357180,5370006
5357180,5369998
5357180,5363887
5357180,5376342
5357180,5361989
5357180,5406069
5357180,5393773
5357180,5388563
5357180,5418489
5357180,5415320
5357180,5388678
5357180,5402019
5357180,5417544
5357180,5357181
5357180,5428737
5357180,5370413
5357180,5362220
5357180,5433040
5357180,5423763
5357180,5391000
5357180,5413747
5357180,5362461
5357180,5497612
5357180,5388080
5357180,5371698
5357180,5609413
5357180,5363693
5357180,5373828
5357181,5426265
5357181,5375043
5357181,5391425
5357181,5398644
5357181,5366908
5357181,5364751
5357181,5440717
5357181,5393647
5357181,5365908
5357181,5413018
5357181,5368969
5357181,5380282
5357181,5387424
5357181,5601648
5357181,5375356
5357181,5482768
5357181,5384472
5357181,5375440
5357181,5374428
5357181,5361279
5357181,5402136
5357181,5428737
5357181,5426699
5357181,5422605
5357181,5370413
5357181,5365465
5357181,5380764
5357181,5396099
5357181,5392055
5357181,5421909
5357181,5413747
5357181,5371669
5357181,5363482
5357181,5388080
5357181,5397502
5357181,5371900
5357181,5445628
5357181,5525479
5357181,5391268
5357181,5371821
5357181,5371820
5357292,5362777
5357292,5426265
5357292,5375043
5357292,5448801
5357292,5360662
5357292,5418032
5357292,5362750
5357292,5471437
5357292,5440717
5357292,5423328
5357292,5448941
5357292,5370006
5357292,5368969
5357292,5423241
5357292,5360811
5357292,5387604
5357292,5400908
5357292,5370233
5357292,5378504
5357292,5359006
5357292,5430799
5357292,5362389
5357292,5403356
5357292,5357293
5357292,5367461
5357292,5413747
5357292,5380971
5357292,5520357
5357292,5371793
5357293,5426265
5357293,5393418
5357293,5386991
5357293,5365908
5357293,5361317
5357293,5367461
5357293,5401767
5357293,5388459
5357293,5358921
5357293,5413747
5357293,5358378
5357293,5374422
5357293,5367185
5357293,5359006
5357293,5395901
5357293,5437862
5357293,5421479
5357293,5370799
5357557,5625161
5357557,5502488
5357557,5361669
5357557,5368076
5357557,5394233
5357557,5454124
5357557,5452227
5357557,5422315
5357557,5503131
5357557,5379237
5358100,5462107
5358100,5400130
5358100,5375089
5358100,5536276
5358100,5502488
5358100,5368381
5358100,5442765
5358100,5473534
5358100,5551257
5358100,5472386
5358100,5364878
5358100,5428405
5358100,5436597
5358100,5379238
5358100,5369719
5358100,5550447
5358100,5512452
5358100,5399856
5358100,5425969
5358194,5426265
5358194,5363293
5358194,5375043
5358194,5364344
5358194,5366908
5358194,5477985
5358194,5396584
5358194,5391465
5358194,5409389
5358194,5428737
5358194,5410344
5358194,5362220
5358194,5394643
5358194,5413018
5358194,5423241
5358194,5392055
5358194,5399214
5358194,5367618
5358194,5375356
5358194,5373795
5358194,5482768
5358194,5371669
5358194,5363482
5358194,5362461
5358194,5380871
5358194,5377293
5358194,5417264
5358194,5373240
5358194,5392173
5358194,5375440
5358194,5375441
5358194,5369819
5358194,5361124
5358194,5363695
5358194,5400986
5358194,5397420
5358343,5381696
5358343,5660273
5358343,5409389
5358343,5369576
5358343,5414546
5358343,5379254
5358343,5366619
5358343,5392754
5358343,5462887
5358343,5402986
5358343,5469969
5358343,5380871
5358343,5497612
5358343,5414690
5358343,5437736
5358343,5726674
5358343,5726673
5358343,5452217
5358343,5408163
5358343,5427630
5358378,5360662
5358378,5571804
5358378,5368969
5358378,5685558
5358690,5383313
5358690,5583444
5358690,5368551
5358690,5387057
5358751,5428242
5358751,5428243
5358751,5428246
5358751,5360662
5358751,5428251
5358751,5428226
5358751,5362944
5358751,5428224
5358751,5428231
5358751,5428228
5358751,5428236
5358751,5428237
5358751,5428264
5358751,5416489
5358751,5395187
5358751,5428214
5358751,5428217
5358751,5376740
5358751,5358999
5358751,5398937
5358751,5391774
5358751,5379254
5358751,5358752
5358751,5371815
5358752,5428242
5358752,5428243
5358752,5428246
5358752,5360662
5358752,5428251
5358752,5428226
5358752,5362944
5358752,5428224
5358752,5428231
5358752,5428228
5358752,5428236
5358752,5428237
5358752,5428264
5358752,5416489
5358752,5395187
5358752,5428214
5358752,5428217
5358752,5376740
5358752,5358999
5358752,5398937
5358752,5391774
5358752,5379254
5358752,5371815
5358921,5369939
5358921,5601875
5358921,5370395
5358921,5402136
5358921,5364751
5358921,5381884
5358921,5380764
5358921,5368969
5358921,5392055
5358921,5367461
5358921,5360811
5358921,5399214
5358921,5400908
5358921,5371669
5358921,5384472
5358921,5642036
5358921,5392173
5358921,5375440
5358921,5361124
5358921,5398937
5358921,5413768
5358921,5402019
5358921,5370799
5358958,5375513
5358958,5713434
5358958,5428737
5358958,5379639
5358958,5492276
5358958,5381688
5358958,5403356
5358958,5396099
5358958,5380282
5358958,5395129
5358958,5672260
5358958,5358960
5358958,5418339
5358958,5387758
5358958,5412272
5358958,5575609
5358958,5395901
5358958,5391268
5358960,5364751
5358960,5374149
5358960,5373180
5358960,5376131
5358960,5374087
5358960,5396823
5358960,5625161
5358960,5418339
5358960,5417264
5358960,5364018
5358960,5413352
5358960,5367185
5358960,5367184
5358960,5388678
5358960,5734819
5358960,5377619
5358960,5381747
5358960,5375513
5358960,5381688
5358960,5395129
5358960,5367461
5358960,5389143
5358960,5446512
5358960,5456666
5358960,5363482
5358960,5642036
5358960,5382125
5358999,5369939
5358999,5362777
5358999,5383291
5358999,5409389
5358999,5428242
5358999,5428243
5358999,5428246
5358999,5360662
5358999,5428251
5358999,5428226
5358999,5428224
5358999,5415424
5358999,5428231
5358999,5428228
5358999,5428236
5358999,5428237
5358999,5403697
5358999,5428264
5358999,5416489
5358999,5395187
5358999,5366003
5358999,5376740
5358999,5379254
5358999,5411007
5358999,5396823
5358999,5422933
5358999,5361533
5358999,5399312
5358999,5362944
5358999,5365030
5358999,5428214
5358999,5428217
5358999,5387758
5358999,5398937
5358999,5391774
5358999,5371815
5359006,5362777
5359006,5375043
5359006,5430799
5359006,5418032
5359006,5362750
5359006,5403356
5359006,5440717
5359006,5448941
5359006,5370006
5359006,5368969
5359006,5423241
5359006,5387604
5359006,5413747
5359006,5380971
5359006,5378504
5359006,5520357
5359006,5370799
5359305,5367872
5359305,5449754
5359305,5396733
5359305,5800169
5359305,5404826
5359305,5376268
5359305,5462461
5359305,5399106
5359305,5399107
5359305,5407259
5359305,5382905
5359305,5413512
5359305,5384968
5359305,5780274
5359305,5483435
5359305,5430367
5359305,5502018
5359305,5391439
5359305,5409913
5359305,5526777
5359305,5842087
5359305,5457271
5359305,5570074
5359305,5375633
5359305,5408624
5359305,5406464
5359305,5371698
5359305,5449681
5359305,6125526
5359305,5400457
5359408,5363293
5359408,5406837
5359408,5367417
5359408,5381688
5359408,5376034
5359408,5433040
5359408,5387988
5359408,5414629
5359408,5375143
5359408,5363887
5359408,5376342
5359408,5379423
5359408,5392710
5359408,5361989
5359408,5373795
5359408,5362461
5359408,5377293
5359408,5373240
5359408,5376829
5359408,5366771
5359408,5413352
5359408,5363693
5359408,5363695
5359408,5384116
5359408,5402019
5359775,5359833
5359775,5359817
5359775,5359801
5359775,5359779
5359775,5517116
5359779,5359833
5359779,5359817
5359779,5359801
5359801,5359833
5359801,5359817
5359801,5373645
5359817,5359833
5359833,5833272
5360294,5391439
5360294,5375633
5360294,5441363
5360294,5489480
5360294,5364018
5360294,5490486
5360294,5369819
5360294,5400457
5360294,5389731
5360544,5375089
5360544,5502487
5360544,5502488
5360544,5405240
5360544,5376040
5360544,5442765
5360544,5671163
5360544,5472386
5360544,5428405
5360544,5423294
5360544,5919415
5360544,5373278
5360544,5550447
5360544,5399856
5360544,5425969
5360544,5736228
5360648,5375440
5360648,5412693
5360648,5365465
5360648,5494620
5360648,5436013
5360648,5361683
5360648,5371669
5360648,5365908
5360648,5374878
5360648,5433884
5360648,5652741
5360648,5507074
5360648,5426699
5360648,5364751
5360648,5383472
5360648,5403697
5360648,5369913
5360648,5399970
5360648,5364386
5360648,5391268
5360662,5428242
5360662,5428243
5360662,5428246
5360662,5428251
5360662,5428226
5360662,5428224
5360662,5428231
5360662,5428228
5360662,5428236
5360662,5428237
5360662,5428264
5360662,5376193
5360662,5379254
5360662,5362944
5360662,5365141
5360662,5398937
5360662,5391774
5360662,5416489
5360662,5395187
5360662,5376740
5360662,5403587
5360662,5428214
5360662,5428217
5360662,5371793
5360662,5385126
5360662,5371815
5360741,5365030
5360741,5557035
5360741,5375440
5360741,5375441
5360741,5413073
5360741,5379314
5360741,5397502
5360741,5413018
5360741,5400986
5360741,5369998
5360741,5392055
5360741,5361058
5360741,5399214
5360811,5471437
5360811,5448941
5360811,5387544
5360811,5364018
5360811,5681758
5360811,5373677
5360811,5395129
5360811,5389143
5360811,5470015
5360811,5395352
5361058,5413073
5361058,5379314
5361058,5369998
5361058,5392055
5361058,5399214
5361058,5365030
5361058,5557035
5361058,5375440
5361058,5375441
5361058,5397502
5361058,5400986
5361124,5601875
5361124,5426265
5361124,5375043
5361124,5364344
5361124,5477985
5361124,5396584
5361124,5361683
5361124,5403163
5361124,5402136
5361124,5370395
5361124,5428737
5361124,5364751
5361124,5379639
5361124,5369913
5361124,5362220
5361124,5376200
5361124,5380302
5361124,5420749
5361124,5381363
5361124,5381884
5361124,5452524
5361124,5391000
5361124,5380764
5361124,5368969
5361124,5423241
5361124,5567627
5361124,5392055
5361124,5399214
5361124,5396823
5361124,5645149
5361124,5494620
5361124,5418315
5361124,5368701
5361124,5482768
5361124,5371669
5361124,5384472
5361124,5363482
5361124,5392173
5361124,5375440
5361124,5375441
5361124,5397502
5361124,5389805
5361124,5413768
5361124,5734819
5361124,5397420
5361279,5377619
5361279,5369939
5361279,5375043
5361279,5398644
5361279,5366908
5361279,5455462
5361279,5403163
5361279,5402136
5361279,5426699
5361279,5364751
5361279,5418032
5361279,5403697
5361279,5410871
5361279,5362389
5361279,5365465
5361279,5373645
5361279,5605603
5361279,5393647
5361279,5452524
5361279,5365908
5361279,5413018
5361279,5413017
5361279,5380764
5361279,5368969
5361279,5474957
5361279,5387424
5361279,5421909
5361279,5413747
5361279,5375356
5361279,5393250
5361279,5399312
5361279,5482768
5361279,5371669
5361279,5363482
5361279,5388080
5361279,5375440
5361279,5374428
5361279,5546494
5361279,5397502
5361279,5525479
5361279,5389805
5361279,5597077
5361279,5367184
5361279,5365141
5361279,5374878
5361279,5413768
5361279,5550003
5361279,5391295
5361317,5362240
5361317,5413747
5361317,5565295
5361317,5393418
5361317,5375440
5361317,5440452
5361317,5386991
5361317,5371793
5361317,5365908
5361317,5375418
5361317,5437862
5361317,5421479
5361317,5388459
5361317,5399214
5361317,5381807
5361533,5369939
5361533,5396823
5361533,5422933
5361533,5412693
5361533,5362777
5361533,5366003
5361533,5383291
5361533,5387758
5361533,5436013
5361533,5399312
5361533,5415424
5361533,5403697
5361533,5411007
5361533,5365030
5361669,5625161
5361669,5402986
5361669,5442333
5361669,5368076
5361669,5394233
5361669,5454124
5361669,5452227
5361669,5422315
5361669,5503131
5361669,5385126
5361669,5379237
5361683,5426265
5361683,5396584
5361683,5436013
5361683,5403163
5361683,5433884
5361683,5507074
5361683,5426699
5361683,5364751
5361683,5365465
5361683,5376200
5361683,5420749
5361683,5381363
5361683,5368551
5361683,5452524
5361683,5365908
5361683,5368969
5361683,5364386
5361683,5412693
5361683,5374786
5361683,5374787
5361683,5413747
5361683,5389158
5361683,5399312
5361683,5371669
5361683,5363482
5361683,5652741
5361683,5383472
5361683,5375440
5361683,5362632
5361683,5397502
5361683,5389805
5361683,5367185
5361683,5367184
5361683,5374878
5361683,5399970
5361683,5437862
5361683,5421479
5361683,5391268
5361683,5397420
5361727,5362802
5361727,6374469
5361727,5468768
5361727,5375084
5361727,5370893
5361727,5510908
5361727,5441363
5361727,5373936
5361727,5400457
5361989,5363293
5361989,5406837
5361989,5381688
5361989,5376034
5361989,5433040
5361989,5387988
5361989,5423763
5361989,5370006
5361989,5375143
5361989,5363887
5361989,5376342
5361989,5379423
5361989,5392710
5361989,5373795
5361989,5390610
5361989,5362461
5361989,5377293
5361989,5373240
5361989,5376829
5361989,5366771
5361989,5413352
5361989,5363693
5361989,5363695
5361989,5384116
5361989,5402019
5362064,5396584
5362064,5363482
5362064,5381363
5362064,5381364
5362220,5426265
5362220,5391425
5362220,5417544
5362220,5364344
5362220,5711482
5362220,5477985
5362220,5428737
5362220,5426699
5362220,5364751
5362220,5410828
5362220,5403697
5362220,5379639
5362220,5416503
5362220,5406754
5362220,5376035
5362220,5372115
5362220,5433040
5362220,5423328
5362220,5532384
5362220,5368551
5362220,5414629
5362220,5393647
5362220,5365908
5362220,5370006
5362220,5423241
5362220,5399214
5362220,5396828
5362220,5413747
5362220,5370233
5362220,5375356
5362220,5393250
5362220,5368163
5362220,5367150
5362220,5482768
5362220,5371669
5362220,5376789
5362220,5363482
5362220,5362461
5362220,5388080
5362220,5392173
5362220,5375440
5362220,5375441
5362220,5443547
5362220,5609413
5362220,5368783
5362220,5397502
5362220,5388678
5362220,5385651
5362220,5363122
5362220,5744050
5362220,5391291
5362240,5400908
5362240,5396584
5362240,5565295
5362240,5402136
5362240,5402425
5362240,5375440
5362240,5375441
5362240,5678278
5362240,5440452
5362240,5525479
5362240,5386991
5362240,5371793
5362240,5375418
5362240,5437862
5362240,5421479
5362240,5399214
5362240,5381807
5362389,5454456
5362389,5401711
5362389,5398535
5362389,5418032
5362389,5410871
5362389,5368381
5362389,5368969
5362389,5364878
5362389,5375819
5362389,5407498
5362389,5374422
5362389,5416917
5362389,5443547
5362389,5374424
5362389,5556163
5362389,5367184
5362389,5413768
5362389,5370799
5362461,5363293
5362461,5406837
5362461,5376034
5362461,5387988
5362461,5423763
5362461,5465762
5362461,5375143
5362461,5376342
5362461,5379423
5362461,5377293
5362461,5373240
5362461,5376829
5362461,5413352
5362461,5387758
5362461,5363693
5362461,5363695
5362461,5373828
5362461,5402019
5362632,5464656
5362632,5402136
5362632,5440542
5362632,5433884
5362632,5422605
5362632,5394642
5362632,5394643
5362632,5365465
5362632,5403847
5362632,5420749
5362632,5384439
5362632,5368551
5362632,5385363
5362632,5560498
5362632,5375143
5362632,5396823
5362632,5374786
5362632,5599557
5362632,5374787
5362632,5368163
5362632,5389158
5362632,5376789
5362632,5402425
5362632,5392173
5362632,5402002
5362632,5367185
5362632,5368252
5362632,5734819
5362632,5391268
5362632,5599660
5362750,5362777
5362750,5375043
5362750,5430799
5362750,5418032
5362750,5440717
5362750,5370006
5362750,5368969
5362750,5423241
5362750,5387604
5362750,5413747
5362750,5380971
5362750,5378504
5362750,5520357
5362777,5369939
5362777,5426265
5362777,5375043
5362777,5383291
5362777,5366908
5362777,5418032
5362777,5403697
5362777,5369913
5362777,5650493
5362777,5440717
5362777,5366003
5362777,5370006
5362777,5413018
5362777,5368969
5362777,5423241
5362777,5411007
5362777,5396823
5362777,5387604
5362777,5400908
5362777,5411080
5362777,5365030
5362777,5375440
5362777,5387741
5362777,5378504
5362777,5387758
5362777,5375418
5362777,5734819
5362777,5464656
5362777,5415424
5362777,5430799
5362777,5365465
5362777,5426867
5362777,5422933
5362777,6355822
5362777,5413747
5362777,5380971
5362777,5399312
5362777,5371669
5362777,5430068
5362777,5371900
5362777,5520357
5362777,5489643
5362777,5363693
5362777,5363695
5362777,5374878
5362802,5403746
5362802,5373038
5362802,5370893
5362802,5465319
5362802,5409978
5362802,5409977
5362802,5387604
5362802,5375336
5362802,5437852
5362802,5381747
5362802,6303475
5362802,5377874
5362802,5390167
5362802,5390206
5362813,5464339
5362813,5382667
5362813,5364750
5362813,5436479
5362813,5445930
5362813,5371860
5362813,5613458
5362813,5378470
5362836,5598535
5362944,5428242
5362944,5428243
5362944,5428246
5362944,5428251
5362944,5428226
5362944,5428224
5362944,5428231
5362944,5428228
5362944,5428236
5362944,5428237
5362944,5428264
5362944,5416489
5362944,5395187
5362944,5428214
5362944,5428217
5362944,5376740
5362944,5398937
5362944,5391774
5362944,5379254
5362944,5371815
5363122,5433040
5363122,5396828
5363122,5609413
5363122,5417544
5363122,5365066
5363122,5368783
5363122,5432049
5363122,5711482
5363122,5532384
5363122,5368551
5363122,5414629
5363122,5388678
5363122,5410828
5363122,5416503
5363122,5363124
5363122,5406754
5363122,5376035
5363124,5365066
5363124,5711482
5363124,5370894
5363124,5432049
5363124,5418489
5363293,5406837
5363293,5381688
5363293,5376035
5363293,5387988
5363293,5375143
5363293,5363887
5363293,5376342
5363293,5379423
5363293,5392710
5363293,5373795
5363293,5377293
5363293,5373240
5363293,5376829
5363293,5366771
5363293,5413352
5363293,5363693
5363293,5384116
5363293,5402019
5363482,5426265
5363482,5375043
5363482,5398644
5363482,5366908
5363482,5396584
5363482,5364751
5363482,5376200
5363482,5381363
5363482,5381364
5363482,5373180
5363482,5393647
5363482,5365908
5363482,5413018
5363482,5368969
5363482,5423241
5363482,5387424
5363482,5375143
5363482,5376342
5363482,5418315
5363482,5375356
5363482,5482768
5363482,5384472
5363482,5379375
5363482,5375440
5363482,5375441
5363482,5374422
5363482,5374424
5363482,5374428
5363482,5377619
5363482,5601875
5363482,5364344
5363482,5477985
5363482,5402136
5363482,5433884
5363482,5428737
5363482,5426699
5363482,5410344
5363482,5365465
5363482,5423763
5363482,5380764
5363482,5367461
5363482,5399214
5363482,5421909
5363482,5375819
5363482,5413747
5363482,5393250
5363482,5399312
5363482,5371669
5363482,5388080
5363482,5392173
